epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202126,2021-07-03,445,RJ,Mendes,3302809,city,1915,10269.19777,0,56,0,0.0292,18648,False,True
202126,2021-07-03,458,RJ,Mesquita,3302858,city,3425,1939.7516,0,404,0,0.118,176569,False,True
202126,2021-07-03,472,RJ,Miguel Pereira,3302908,city,2529,9886.2437,0,72,0,0.0285,25581,False,True
202126,2021-07-03,430,RJ,Miracema,3303005,city,2679,9865.94977,0,94,0,0.0351,27154,False,True
202126,2021-07-03,422,RJ,Natividade,3303104,city,1077,7034.15845,0,19,0,0.0176,15311,False,True
202126,2021-07-03,457,RJ,Nilópolis,3303203,city,3582,2201.69276,0,462,0,0.129,162693,False,True
202126,2021-07-03,479,RJ,Niterói,3303302,city,40000,7762.21239,0,1872,0,0.0468,515317,False,True
202126,2021-07-03,456,RJ,Nova Friburgo,3303401,city,20362,10651.92145,0,684,0,0.0336,191158,False,True
202126,2021-07-03,463,RJ,Nova Iguaçu,3303500,city,18623,2261.98892,0,1665,0,0.0894,823302,False,True
202126,2021-07-03,450,RJ,Paracambi,3303609,city,2444,4639.06763,0,119,0,0.0487,52683,False,True
202126,2021-07-03,456,RJ,Paraíba do Sul,3303708,city,4707,10573.25127,0,145,0,0.0308,44518,False,True
202126,2021-07-03,451,RJ,Paraty,3303807,city,2632,6025.64103,0,74,0,0.0281,43680,False,True
202126,2021-07-03,451,RJ,Paty do Alferes,3303856,city,2628,9433.55589,0,95,0,0.0361,27858,False,True
202126,2021-07-03,470,RJ,Petrópolis,3303906,city,13167,4293.42829,0,1265,0,0.0961,306678,False,True
202126,2021-07-03,442,RJ,Pinheiral,3303955,city,2884,11370.4463,0,67,0,0.0232,25364,False,True
202126,2021-07-03,448,RJ,Piraí,3304003,city,3960,13403.28313,0,75,0,0.0189,29545,False,True
202126,2021-07-03,457,RJ,Porciúncula,3304102,city,2132,11244.72574,0,68,0,0.0319,18960,False,True
202126,2021-07-03,453,RJ,Porto Real,3304110,city,1841,9216.98208,0,34,0,0.0185,19974,False,True
